DATE,STAR,LIKE,REVIEW
20210330,별표 5개 만점에 1개를 받았습니다.,57,1점도 아까움 정말 욕이라도 퍼주고싶은데 광고비 없다는 명목으로 배달비에 중계수수료까지 타사보다 더 내고있는건 아시는지.. 그러면서 고객들 요청사항은 다 들어죠야하고 터무니없는 리뷰에는 답글도 달수없게 만들어놓고 정작 당신들은 사장님들 요청사항 안보이나? 안들려요? 지금 다들 요청하고 계시잖아요 배달기사들 수수료는 내려서 파업까지 이르게 해놓고 정작 업주들에겐 수수료 따박따박 다 떼어가면서 요즘 첫주문인데 많이주면 리뷰작성한다는 놈이 3주째 진상짓을 하는데 진짜 처음인건지 습관적으로 써쳐먹는 습관인건지.. 코로나로 어려워 울며겨자먹기로 당신들 회사에 돈 퍼다주고 있는 사장님들 말도 귀담아 쳐들어주시길 리뷰 댓글도 달고 사장님들도 할말은 하고 삽시다 타사서는 지키지도않는 개인정보는 쓸데없이 지켜주고 난리들이신지.. 그리고 당신들 별점은 누가 계산하는지.. 죄다 1점씩들이고만 평균이 너무 높네 난 4.8에서 4.9올라가는게 하늘의 별따기더만
20210401,별표 5개 만점에 1개를 받았습니다.,13,"비싼 배달비, 그리고 그렇게 빠르지도않음 일반 푸드퀵 기사님들도 쿠팡어플깔고 다님. 그러면 한집만 가는건지 알수가없음.. 즉, 눈가리고 아웅하는거임 진짜 별론데 영업시간중에 하나라도 더팔자는 생각으로 쓰긴쓰는데 진짜 별로. 매장에서 배달갈수잇도록해주든가"
20210505,별표 5개 만점에 1개를 받았습니다.,19,동시로그인 왜 안되나요?폰을 두대 세대 들고있어야되게 해놓으니 쿠팡이츠 주문~!울리면 당최 어느폰에서 울리는지 찾아야하고.한개의 폰에서 동시로그인들 되게 해주쇼.1폰에 1로그인말고 1폰에서 3로그인정도는 되게해줘야 폰한개로 어디서 무슨주문이 왔는지 한번에 캐치할텐데. 이러나저러나 진짜 불편한 앱이고 불편한 쿠팡이네요.전혀 사장님에대한 배려는1도없는.개선도없고 발전도없으면 그냥 쿠팡 빼렵니다.배민이나 쭉받지뭐.
20210402,별표 5개 만점에 3개를 받았습니다.,19,아니 다 괜찮은데 주문들어오면 계에에속 쿠팡이츠? 주문! 이러는것도 짜증나는데 좀 늦으면 전화오는건 좀 아니라고 보네요; 가게에서 핸드폰이랑 포스만 보고있을 것도 아니잖아요 또 사장님댓글은 왜 안열어준답니까? 솔직히 쿠팡이츠 파트너들이 늦은거 갖다가 우리가 욕먹어야 할 일도 아니고 우리가 포장 잘못해서 피해라도 갔다면 사과문이라도 쓸 수 있게 해줘야 하는 부분 아닙니까? 사장님 댓글이 유일하게 소비자와 소통할수 있는 창구라고 보는 사람 입장에서 다른 배달 어플들은 다 되는데 이건 왜 안될까라는 생각이 들게 합니다 제발 사장님 댓글좀 열어주세요 쫌
20210409,별표 5개 만점에 1개를 받았습니다.,31,서비스 다처먹고 음식도 다처먹고 맛없다고 버리겠다는 글!!!! 지우지도못하고 반박글도 못달고... 신고하면 지워주지도않고 장사하는 사람한테는 리뷰하나하나가 얼마나 중요한데....사장댓글기능만들어주시요!!! 니들이 일하기싫으면 내가 욕이라도 할테니....음식다처먹고 못받았다고 전화와도 확인도않해보고 음식다시 해주라그러고.....우리돈받아먹고 직원들 월급줄꺼면 업주들말에 귀기울여라!!!!제발!!!!!!!!!
20210428,별표 5개 만점에 1개를 받았습니다.,10,음식나오고 30분이지나도 40분이 지나도 기사는 배정안되고 음식은 다식고 손님 불만은 고스란히 가게로 오고... 세상에 뭔 이런 배달어플이 있는지... 1인 1배달이면 뭐해? 배달시간이 한시간인데...
20210304,별표 5개 만점에 1개를 받았습니다.,33,당최 왜이렇게만든건지.. 리뷰관리안되고 고객정보전혀없고 메뉴빠뜨린거없는데본인이 무슨메뉴인지모르고시켜서 전화응대했는데 리뷰는 메뉴안왔다고 별점테러 사진설정안되서 정해주는걸로했더니 사진이랑틀리다고 별점테러 수정요청해도 깜깜무소식 더써봐야 손가락만아프고 참고들하세요 정말최악입니다.
20210405,별표 5개 만점에 1개를 받았습니다.,28,"비싼 수수료, 불친절한 배달기사, 메뉴수정 할려면 메일을 보내야되는 불편함, 고객센터에 문의하면 매번 담당부서에 전달한다고 하는 똑같은 멘트 그리곤 개선할 마음이 있는지 궁금한 쿠팡이츠"
20210517,별표 5개 만점에 1개를 받았습니다.,11,스트레스만 쌓이는 앱 그냥 서비스 종료 하는 걸 바랄 정도입니다. 종료하면 스트레스는 안 받을테니까요 퀵 기사분들 잡혀도 다 취소하고 기사분들 오는데 20분 이상은 추가로 걸려요 40분 동안 배정중만 뜨는 경우도 있고 (조리시간 15분 잡으면 기사분 오시는데 35분 이상 걸림) 저녁엔 문의 전화 받지도 않고 사장님들이 개선 요청 하는건 한 귀로 듣고 한 귀로 흘리는지.. 제발 개선 좀 해주세요 그게 안 되면 서비스 종료 해주시던지
20210424,별표 5개 만점에 1개를 받았습니다.,18,제발 서울에서만 하고 경기도에서 쳐 나가세요 음식 시간에 딱 만들어놓으면 제시간에 가져가는 적이 없어 배달기사 매번 부족하다고 주문 취소된적도 한두번도 아니고 환불만 해주면 단가.. 기본 배달 픽업시간은 음식 만들어놨다고 하면 +20분은 걸림 제발 서울에서만 잘되면 서울에서만 하고 경기도 그리고 다른데에는 들어올 생각조차 하지말고 제발 도로 쳐 나가세요 부탁드립니다
