DATE,STAR,LIKE,REVIEW
20210731,별표 5개 만점에 1개를 받았습니다.,84,시스템 개선 좀 부탁드립니다 1.현재 주문 배달 완료후 로그오프 기능 만들어 주세요 그만하고 싶은데 로그오프하는 시간보다 콜이 먼저 잡혀버리네요 평점 개그지됩니다 2. 지도화면에 기본단가 표시해주세요 할증은 내단가도 아닌데 전혀 필요없습니다 3. 주문배정시 지도 움직일수 있게 해주세요 하도 멀리 보내서 어딘지 보이지도 않습니다 4. 조리완료 미리 누르지 않게 시스템적으로 보완부탁드립니다 무슨 문젠지모르겠으나 조리완료 메세지 도착후 10분후 까지도 완료가 안된경우도 많습니다 마지막으로 픽업지가 5키로이상 어제는 9.7키로 까지도 나오던데 도대체 이유가 몹니까?
20210810,별표 5개 만점에 1개를 받았습니다.,8,하.... 갑질 고객관리좀 하세요!!! 아니 무슨 기사가 우습습니까? 더운날씨에 20분만에 배달했는데 늦었다고 취소하고 귀책사유로 삽는다네요 화가나서 파트너센터에 항의했더니 문앞사진 찍고 증거제출하랍니다 그리고 화가나서 언성좀 높였더니 상담종료될 수있다고....어이상실이네요 배민원 안양지역에 들어오면 갈아타렵니다;; 더럽고 치사해서 못해먹겠어요 별 하나도 아깝습니다
20210810,별표 5개 만점에 1개를 받았습니다.,25,3주정도 후기입니다 돈이 안됩니다.하지마세요. 추천하지 않습니다. 뮈 리뷰보니 이런저런 불만들 많으신데 그런거야 쿠팡 방침이라 인정하고 넘어가더라도 돈벌어 보겠다고 하는건데 돈이 안되네요. 지방의 광역시의 요식업 자영업자인데 거리두기 4단계로 시간도 남고 알바비라도 벌어보고자 시작했는데 한시간 5-6000원 벌이 수준이네요. 알바 최저시급도 안나오네요. 배민커넥트는 어떤가 한번 해볼렵니다.
20210805,별표 5개 만점에 2개를 받았습니다.,7,최근 느낀거 1. 자동차 라이더는 피크시 콜이 잘 안들어온다. 같이 있는데 오토바이는 콜들와서 갔다왔는데도 또다시 콜 주고 기다리는 자동차는 콜이 안들어옴 참고로 자동차평점 93 오토바이 평점 80임 2. 콜이 많은지역은 시간대를 불문하고 기본단가가 너무 낮네요.. 5.8키로에 3700언이면;;;; 3. 요청시 금액과 완료시 금액이 가끔 틀리네요 고객센터 전화하니 증거가 있어야 한다는데 스크린샷도 안된다하니 폰2개나 촬영기기나 동승자가 찍으라는데;; 이게 답변인건지 4. 피크타임 금액정산이 정산일에 정산 안되는것좀;;; 항상금액이 틀려 문의메일 보내면 1주일 다되서 오고.. 답변을 좀 일찍 해주셨음 합니다.. ㅠ *3번은 배달금액이 완료시까지 표기되게 바꿔주시면 해결 될듯 합니다
20210802,별표 5개 만점에 1개를 받았습니다.,62,원하는 지역 설정은 도데체 왜합니까? 하루는 광진구에서 시작한것이 성북구로가서 북악산을 두번넘고 종로로 보내길래 강동에서 시작 했더니 경기도 하남시에서만 뺑뺑이 돌리네요. 그리고 배송 끝내려고하면 바로 콜 넣어서 콜 취소 해야지만 일을 끝낼수가 있네요. 취소 했다고 평점 낮아지게요. 마지막으로 거리 할증이나 배송 금액이 실제하고 다른것 같은데 저만 그렇게 느끼나요?
20210814,별표 5개 만점에 1개를 받았습니다.,27,전부터 느꼈는데 이거 활동 지역설정이 아무짝에도 쓸모없는 기능같음. 타이더 현위치 기준으로 배차 잡는것도 모자라서 나름 지역구 중간쯤 위치인데도 개뜬금포로 구 경계 넘는 배차가 날아들기 일쑤임. 거절해서 평점 깎이면 다행이지만 실수로 수락했다가 지옥맛보고 의욕 떨어져서 일접고 집에가는중.
20210803,별표 5개 만점에 1개를 받았습니다.,16,배달완료후 쉴틈없이 강제배정..그것도 타지역..처음에만 내가 있는곳 배정해주고..점점 딴데꺼 끌어다 배정.. 짜증나서 취소시키면 더 먼데로 유배보내려고하고.. 이런 양아치도 아니고.. 이러니 다들 배민가지.. 심지어는 업주들도 손님들 전화오면 쿠팡이 더 늦다고 배민으로 주문하란다.. 니들 지금 이런 상황인건 알고있냐?
20210814,별표 5개 만점에 2개를 받았습니다.,3,픽업하러가면...대기시간이너무길어요...뭐라말도못하고10분기다렸다들고갑니다..ㅠㅠ.이렇게대기시간이길어지면..1번에1건...ㅠㅠ너무힘드네요..0ㅁ0..ㅠㅠ
20210809,별표 5개 만점에 1개를 받았습니다.,5,"별 반개도 아까움 3km되는거리를 2천원 주고 배달하시겠어요? 양아치 짓 정도껏 하셔야지, 시작점에서 장거리배차시 빽콜을 주셔야지 기름값도 안나오는 쿠팡~~ 내가 2천원 줄테니, 남한산성 와볼래요???"
20210803,별표 5개 만점에 5개를 받았습니다.,13,아무리 우리가 '을'입장이지만 비가 이렇게 오는데 사고라도나면 음식이며 몸이며 서로에게 피해인데 거절한다고 평점을 깍는다니 뭐라니 하시면 어떻합니까. 이유가 있으니 못가는 사람들 생각해주셔야 하는거 아닙니까. 운전중인데 비맞아서 핸드폰 터치도 안되서 배달찾기 취소 못누르고 있었고 건물로 비피해있는 와중에 거절 이유쓰는데 그와중에도 주문 계속 들어오고 그럼 2중3중 거절하는데..거절하는 이유 쓸 동안은 주문을 보내지 마시던지 시스템 개선바랍니다.
20210730,별표 5개 만점에 1개를 받았습니다.,48,씨팍 새끼들....왜 일부러 문앞 사진이라는걸 고집하는지 알겠네..문앞사진 완료하면...데이타 수신 속도가 급격히 떨어져.. 5G 폰인데도 데이타 송수신이 안돼서...LTE로 변경안하면..완료 치자마자 콜뜨게하는 비겁한 쉑끼들...
20210731,별표 5개 만점에 1개를 받았습니다.,23,"전에 피크타임 보너스 있을땐 배달지가 멀더라도 픽업매장만 보너스지역에 있다면 가고오는데 드는 비용, 시간이 그나마 보너스로 어느정도 상쇄가 되었는데 보너스 사라지고 실시간 요금으로 바뀐 이후에는 먼 거리 가면 무조건 손해라 평점이고 머고 요즘엔 거절 할 수 밖에 없음. 언젠가 정지 먹으면 배민으로 갈아 탈 생각 ㅋ"
20210804,별표 5개 만점에 1개를 받았습니다.,15,원래 이런리뷰 안남기는데 너무하네요 연희동에 있는데 숙대가라고 뜨네요? 차는 죽어도 가까운 가게는 안주는거 같아요 가게까지 15분이상 걸리는 곳을 연속 10개이상 줍니다. 거리가 멀다고 거절하면 평점떨어져서 정지당하고ㅋㅋ.. 걍 노답입니다
20210814,별표 5개 만점에 1개를 받았습니다.,71,맛보기처럼 아주아주 짧게 울리니 글자는 안보이고 바로 끊기는게 두번이나 그랬는데요 끊기고 내용이 나타난것이 무응답으로 거절했다며 평이 내려간다는데요 글자안보이고 아주 짧게 울린게 저희가 어떻게하나요? 그것도 거절로 다음날 수락율 2개내려가 96이네요 열심히 도보로 땀이 눈에 들어갈정도로 해 98올렸더니 이런상황 돌아오고요 열심히 노력해서는 수락율 올라가는게 힘들고 내려가는것은 금방 떨어뜨리고 열심히 한 보람없잖아요 3일동안 총 3건하면 3만원 보너스금액은 진짜 주시는것인지요? 수락율 100을 만들라고 피땀흘려도 오류로 맛보기울리다가 끊겨도 떨어뜨리니
20210730,별표 5개 만점에 1개를 받았습니다.,10,"어플 배달금액 높게보여놓고 실제뛰면 장타가격 배달기사들 기만, ai배차 능력치 구대기수준 픽업지 너무멀어도 거절하면 불리한건 기사이기때문에 걍 가야됌 음식조리대기시간 랜덤 걍 어플 자체에 하자가 매우많음 오지가서 음식떨구면 다시먼곳에서 자기있는오지로 다시배달구역 그냥 쿠팡이츠하실분들은 아무생각없이 주는데로 다 가시고 모든걸 내려놓으셔야 일할수있을듯하네요 ㅋㅋㅋ 그리고 실수로 완료 눌렀는데 고객안나오거나 이런거 고객센터 전화도 오지게안받는데 전화하고 스트레스개받음 고객잠수 진짜 빡치는데 점수하락주니까 이도저도못함 그냥 해탈해야 쓸수있는어플임 이거보다 괜찮은거나오면 이거 할 사람없어지기전에 쿠팡 오래한 인원들 모아서 개선해야할듯 건당금액 기만으로 돈으로 어캐해볼려하지말고"
20210808,별표 5개 만점에 2개를 받았습니다.,8,영종도는 쿠팡이츠 너무 없네요 피크시간인데도 한시간에 콜 2개..겨우뜹니다 가게에서 음식 기다리는동안 배민과요기요는 계속 주문 띵동 뜨더나구요 얼마나 부럽던지.. 그리고 왜 처음주문 수락관련 뜰때 최종 도착지 확인은 안되는건가요? 이동거리 대비 적은 수당정책으로 기름값 보험료 세금 떼면 너무 적게 남아요 건수라도 많이 뜨면 그나마 위로가 되겠다만..고민되네요 이츠를 계속 해야할지.. 갈아타야할지...
